dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,2.555020,8.806809,1.819440,3.307887,3.024362,0.046644,0.005448
0.005000,2.571635,8.806900,1.836055,3.323010,3.024598,0.047235,0.005517
0.005000,2.588325,8.806993,1.852746,3.338134,3.024835,0.047446,0.005587
0.005000,2.605091,8.807087,1.869512,3.353260,3.025074,0.047657,0.005657
0.005000,2.621933,8.807183,1.886354,3.368386,3.025313,0.047867,0.005728
0.005000,2.638850,8.807281,1.903272,3.383514,3.025553,0.048078,0.005800
0.005000,2.655843,8.807380,1.920265,3.398643,3.025795,0.048289,0.005872
0.005000,2.672912,8.807481,1.937334,3.413773,3.026037,0.048500,0.005945
0.005000,2.690056,8.807583,1.954478,3.428905,3.026281,0.048711,0.006019
0.005000,2.707276,8.807688,1.971698,3.444037,3.026526,0.048922,0.006094
0.005000,2.724571,8.807794,1.988994,3.459171,3.026771,0.049133,0.006169
0.005000,2.741943,8.807902,2.006366,3.474306,3.027018,0.049345,0.006245
0.005000,2.759390,8.808011,2.023813,3.489442,3.027266,0.049616,0.006321
0.005000,2.776912,8.808123,2.041336,3.504580,3.027517,0.050293,0.006399
0.005000,2.794510,8.808236,2.058934,3.519719,3.027765,0.049467,0.006477
0.005000,2.812184,8.808351,2.076609,3.534859,3.028016,0.050190,0.006555
0.005000,2.829934,8.808468,2.094359,3.550000,3.028268,0.050402,0.006635
0.005000,2.847759,8.808587,2.112184,3.565143,3.028521,0.050614,0.006715
0.005000,2.865660,8.808708,2.130086,3.580287,3.028775,0.050827,0.006796
0.005000,2.883637,8.808831,2.148063,3.595432,3.029031,0.051121,0.006878
0.005000,2.901689,8.808956,2.166116,3.610578,3.029292,0.052227,0.006960
0.005000,2.919818,8.809083,2.184245,3.625726,3.029544,0.050462,0.007043
0.005000,2.938022,8.809212,2.202449,3.640875,3.029802,0.051676,0.007127
0.005000,2.956301,8.809343,2.220729,3.656025,3.030062,0.051890,0.007212
0.005000,2.974657,8.809476,2.239085,3.671177,3.030326,0.052824,0.007298
